table,fieldName,description,dataType,units,downloadPkg
mam_pertrapnight,tailLength,"length of tail; in millimeters",unsigned integer,millimeter,basic
mam_pertrapnight,totalLength,"total length (head + body); in millimeters",unsigned integer,millimeter,basic
mam_pertrapnight,weight,"Live weight as measured with a spring scale; in grams",unsigned integer,gram,basic
mam_pertrapnight,larvalTicksAttached,"Indicates whether larval ticks are observed on the captured individual",string,NA,basic
mam_pertrapnight,nymphalTicksAttached,"Indicates whether nymphal ticks are observed on the captured individual",string,NA,basic
mam_pertrapnight,adultTicksAttached,"Indicates whether adult ticks are observed on the captured individual",string,NA,basic
mam_pertrapnight,bloodSampleID,"Unique identifier for the blood sample",string,NA,basic
mam_pertrapnight,bloodSampleBarcode,"Barcode of the blood sample",string,NA,basic
mam_pertrapnight,bloodSampleMethod,"Method used to collect the blood sample",string,NA,basic
mam_pertrapnight,fecalSampleID,"Unique identifier for the fecal sample",string,NA,basic
mam_pertrapnight,fecalSampleBarcode,"Barcode of the fecal sample",string,NA,basic
mam_pertrapnight,fecalSampleCondition,"Condition of fecal sample at time of collection; 'fresh' = fresh fecal sample collected from mammal; 'old' = 'Old' fecal sample collected from trap",string,NA,basic
mam_pertrapnight,earSampleID,"Unique identifier for the ear sample",string,NA,basic
mam_pertrapnight,earSampleBarcode,"Barcode of the ear sample",string,NA,basic
mam_pertrapnight,hairSampleID,"Unique identifier for the hair sample",string,NA,basic
mam_pertrapnight,hairSampleBarcode,"Barcode of the hair sample",string,NA,basic
mam_pertrapnight,hairSampleContents,"The type(s) of hair collected",string,NA,basic
mam_pertrapnight,voucherSampleID,"Unique identifier for the voucher sample",string,NA,basic
mam_pertrapnight,voucherSampleBarcode,"Barcode of the voucher sample",string,NA,basic
mam_pertrapnight,measuredBy,"An identifier for the technician who measured or collected the data",string,NA,basic
mam_pertrapnight,recordedBy,"An identifier for the technician who recorded the data",string,NA,basic
mam_pertrapnight,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
mam_pertrapnight,dataQF,"Data quality flag",string,NA,basic
mam_perplotnight,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
mam_perplotnight,nightuid,"Unique ID of associated record in perplotnight table",string,NA,basic
mam_perplotnight,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
mam_perplotnight,domainID,"Unique identifier of the NEON domain",string,NA,basic
mam_perplotnight,siteID,"NEON site code",string,NA,basic
mam_perplotnight,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
mam_perplotnight,collectDate,"Date of the collection event",dateTime,NA,basic
mam_perplotnight,endDate,"The end date-time or interval during which an event occurred",dateTime,NA,basic
mam_perplotnight,samplingProtocolVersion,"The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX",string,NA,basic
mam_perplotnight,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
mam_perplotnight,dataQF,"Data quality flag",string,NA,basic
mam_voucher,uid,"Unique ID within NEON database; an identifier for the record",string,NA,expanded
mam_voucher,namedLocation,"Name of the measurement location in the NEON database",string,NA,expanded
mam_voucher,domainID,"Unique identifier of the NEON domain",string,NA,expanded
mam_voucher,siteID,"NEON site code",string,NA,expanded
mam_voucher,decimalLatitude,"The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,expanded
mam_voucher,decimalLongitude,"The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,expanded
mam_voucher,geodeticDatum,"Model used to measure horizontal position on the earth",string,NA,expanded
mam_voucher,coordinateUncertainty,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term",real,meter,expanded
mam_voucher,elevation,"Elevation (in meters) above sea level",real,meter,expanded
mam_voucher,elevationUncertainty,"Uncertainty in elevation values (in meters)",real,meter,expanded
mam_voucher,altLatitude,"Alternate Sampling Location coordinate - latitude",real,decimalDegree,expanded
mam_voucher,altLongitude,"Alternate Sampling Location coordinate - longitude",real,decimalDegree,expanded
mam_voucher,altCoordinateUncertainty,"The horizontal distance (in meters) from the given altLatitude and altLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term",real,meter,expanded
mam_voucher,altGeodeticDatum,"Model used to measure horizontal position on the earth for alternate location coordinate",string,NA,expanded
mam_voucher,altElevation,"Alternate elevation (in meters) above sea level",real,meter,expanded
mam_voucher,altElevationUncertainty,"Alternate uncertainty in elevation values (in meters)",real,meter,expanded
mam_voucher,altCoordinateSource,"Alternate method used to collect or create spatial information",string,NA,expanded
mam_voucher,startDate,"The start date-time or interval during which an event occurred",dateTime,NA,expanded
mam_voucher,endDate,"The end date-time or interval during which an event occurred",dateTime,NA,expanded
mam_voucher,taxonID,"Species code, based on one or more sources",string,NA,expanded
mam_voucher,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,expanded
mam_voucher,taxonRank,"The lowest level taxonomic rank that can be determined for the individual or specimen",string,NA,expanded
mam_voucher,nativeStatusCode,"The process by which the taxon became established in the location",string,NA,expanded
mam_voucher,identificationQualifier,"A standard term to express the determiner's doubts about the Identification",string,NA,expanded
mam_voucher,taxonIDRemarks,"Technician notes about the specific taxon; free text comments accompanying the record",string,NA,expanded
mam_voucher,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,expanded
mam_voucher,morphospeciesID,"Identifier for morphospecies",string,NA,expanded
mam_voucher,morphospeciesIDRemarks,"Technician notes about the morphospecies; free text comments accompanying the record",string,NA,expanded
mam_voucher,voucherSampleID,"Unique identifier for the voucher sample",string,NA,expanded
mam_voucher,voucherSampleCode,"Barcode of a voucher sample",string,NA,expanded
mam_voucher,habitatDescription,"Description of the habitat in which the event occurred",string,NA,expanded
mam_voucher,remarks,"Technician notes; free text comments accompanying the record",string,NA,expanded
mam_voucher,collectedBy,"An identifier for the technician who collected the sample or specimen",string,NA,expanded
mam_voucher,identifiedBy,"An identifier for the technician who identified the specimen",string,NA,expanded
mam_voucher,recordedBy,"An identifier for the technician who recorded the data",string,NA,expanded
mam_voucher,tagID,"Domain-level unique identifier of tag used to mark the individual",string,NA,expanded
mam_voucher,tagCode,"Code of domain-level unique identifier used to mark the individual",string,NA,expanded
mam_voucher,dataQF,"Data quality flag",string,NA,expanded
